# coding=utf-8
#Last Update : April 2 2024
ID,Lat,Lon,Alt,Name,Type
IHEMMI,45.05,-73.60,20,IHEMMI29,WU
HRYVIL,45.13550,-73.22200,39,Henryville,FADQ
