Variables: tmin, tmax, prcp
18KRK10.csv, 46.93, -70.61
18KRK12.csv, 47.36, -70.04
18KRK13.csv, 47.33, -70.07
18LED01.csv, 46.35, -70.69
18LED07.csv, 46.49, -70.98
18LED09.csv, 46.4, -71.17
18LED11.csv, 46.4, -71.19
18LED14.csv, 46.37, -71.38
18LED16.csv, 46.49, -70.98
18LPC03.csv, 46.88, -70.81
18LPC05.csv, 46.95, -70.54
18LPC06.csv, 46.91, -70.65
18LPC08.csv, 47.12, -70.33
18LPC17.csv, 46.84, -70.89
18LPC30.csv, 46.83, -70.89
18LVD01.csv, 46.19, -72.51
18LVD03.csv, 46.19, -72.52
18LVD07.csv, 46.52, -71.21
18LVD09.csv, 46.56, -71.78
18LVD23.csv, 45.66, -72.63
18LVD60.csv, 45.74, -72.63
18MWO02.csv, 46.67, -71.02
18MWO03.csv, 46.67, -71.02
18MWO07.csv, 46.53, -71.28
18MWO08.csv, 46.54, -71.29
18MWO13.csv, 46.52, -71.47
18MWO21.csv, 46.69, -71.23
18PML02.csv, 48.66, -79.1
18PML03.csv, 48.78, -79.29
18PML05.csv, 48.78, -79.4
18PML06.csv, 48.78, -79.37
18PML07.csv, 48.78, -79.37
18PML22.csv, 48.75, -79.11
18PVD03.csv, 45.85, -73.18
18PVD04.csv, 45.86, -73.14
18PVD17.csv, 45.68, -73.22
18PVD19.csv, 45.82, -73.15
18PVD20.csv, 45.61, -73.18
18PVD23.csv, 45.9, -72.82
18RDU01.csv, 46.29, -72.93
18RDU03.csv, 46.36, -72.96
18RDU07.csv, 46.25, -73.04
18RDU10.csv, 45.65, -74.45
18RDU17.csv, 46.15, -73.19
18RDU20.csv, 46.14, -73.19
18SAB10.csv, 45.28, -73.56
18SAB14.csv, 45.24, -73.56
18SAB15.csv, 45.17, -73.47
18SAB19.csv, 45.46, -73.24
18SAB22.csv, 45.52, -73.22
18SAB25.csv, 45.46, -73.23
18SSL10.csv, 45.82, -73.18
18SSL11.csv, 45.82, -73.18
18SSL12.csv, 45.4, -73.15
18SSL21.csv, 45.75, -73.27
18SSL24.csv, 45.46, -73.11
18SSL27.csv, 45.4, -73.22
18STE01.csv, 46.44, -71.09
18STE03.csv, 45.94, -71.84
18STE04.csv, 46.18, -70.86
18STE05.csv, 46.18, -70.86
18STE10.csv, 46.35, -71.24
18STE25.csv, 46.35, -71.24
18SUB01.csv, 45.69, -73.36
18SUB06.csv, 45.55, -73.25
18SUB08.csv, 45.49, -73.11
18SUB10.csv, 45.57, -73.23
18SUB13.csv, 45.42, -73.19
18SUB15.csv, 45.43, -73.15
19ORS03.csv, 47.02, -70.81
19ORS04.csv, 47.01, -70.83
19ORS05.csv, 46.86, -71.12
19ORS08.csv, 46.89, -70.97
19ORS09.csv, 46.89, -70.98
19ORS15.csv, 46.99, -70.83
19UPD01.csv, 45.79, -73.94
19UPD02.csv, 45.75, -73.95
19UPD04.csv, 45.75, -73.95
19UPD08.csv, 45.63, -74.0
19UPD20.csv, 45.67, -73.84
19UPD21.csv, 45.75, -73.95
