Site_id,Serie,SerieGroup,lon,lat,Sampling 20XX,SamplingDate,year,gini,AWDR_y,SDI_y,PPT_y,GDD(5)
17ALM03,ALMA,G13,-71.03,48.39,17,2018-07-12,2014,0.7293818210474655,899.8356746080167,0.9701523143522691,677.31,1666.2450000000001
17ALM03,ALMA,G13,-71.03,48.39,17,2018-07-12,2015,0.7200566737895635,886.3635051777832,0.9573821101054019,625.18,1701.825
17ALM03,ALMA,G13,-71.03,48.39,17,2018-07-12,2016,0.737294534763097,1107.236229749669,0.9677623236633126,732.72,1635.53
17ALM03,ALMA,G13,-71.03,48.39,17,2018-07-12,2017,0.7248456239933897,895.4564931206388,0.9865767188760288,591.78,1593.46
17ALM03,ALMA,G13,-71.03,48.39,17,2018-07-12,2018,0.7601374943428648,961.9953855245113,0.9815778639095061,641.92,1608.645
17ALM06,ALMA,G13,-71.04,48.33,17,2018-09-07,2013,0.7121377125228395,977.2942151166627,0.9673307088158594,728.7,1583.665
17ALM06,ALMA,G13,-71.04,48.33,17,2018-09-07,2014,0.7238004426949459,911.1739313992713,0.9704902984399192,686.97,1643.32
17ALM06,ALMA,G13,-71.04,48.33,17,2018-09-07,2015,0.7155309620716046,897.9581081759566,0.9595517339801419,631.88,1681.96
17ALM06,ALMA,G13,-71.04,48.33,17,2018-09-07,2016,0.7314606262243245,1126.651088363641,0.967971517499885,751.57,1619.035
17ALM06,ALMA,G13,-71.04,48.33,17,2018-09-07,2017,0.7229425042823706,921.2570129355638,0.9862087191808121,605.79,1573.76
17ALM06,ALMA,G13,-71.04,48.33,17,2018-09-07,2018,0.7569124305910414,978.7537444385894,0.9819352145336785,651.57,1590.895
17ALM08,ALMA,G13,-71.66,48.64,17,2018-06-20,2013,0.717475935911138,958.3848609382579,0.9777441960194428,693.89,1621.635
17ALM08,ALMA,G13,-71.66,48.64,17,2018-06-20,2014,0.7281693930952089,914.9627729473216,0.9705356439180702,676.41,1663.8799999999999
